,year,total_points
0,2003,5906.0
1,2004,16661.0
2,2005,17440.0
3,2006,17532.0
4,2007,18195.0
5,2008,17682.0
6,2009,17559.0
7,2010,17697.0
8,2011,11730.0
9,2012,20110.0
10,2013,19965.0
11,2014,22308.0
12,2015,23374.0
13,2016,25051.0
14,2017,26296.0
15,2018,26582.0
16,2019,28502.0
17,2020,18359.0
18,2021,39865.0
19,2022,30848.0
