,year,total_points
0,2003,131.0
1,2004,404.0
2,2005,326.0
3,2006,509.0
4,2007,916.0
5,2008,1302.0
6,2009,1305.0
7,2010,807.0
8,2011,245.0
9,2012,380.0
10,2013,618.0
11,2014,1100.0
12,2015,659.0
13,2016,1487.0
14,2017,3447.0
15,2018,3704.0
16,2019,4379.0
17,2020,3296.0
18,2021,5691.0
19,2022,4219.0
