,year,total_points
0,2003,85781.0
1,2004,243951.0
2,2005,278310.0
3,2006,283748.0
4,2007,276408.0
5,2008,286194.0
6,2009,285842.0
7,2010,286020.0
8,2011,180877.0
9,2012,304665.0
10,2013,282226.0
11,2014,290816.0
12,2015,284264.0
13,2016,296243.0
14,2017,299757.0
15,2018,299465.0
16,2019,295658.0
17,2020,182550.0
18,2021,376139.0
19,2022,300237.0
