,year,total_points
0,2003,3294.0
1,2004,9220.0
2,2005,10196.0
3,2006,10691.0
4,2007,10364.0
5,2008,11900.0
6,2009,11878.0
7,2010,11608.0
8,2011,7228.0
9,2012,12572.0
10,2013,11754.0
11,2014,15093.0
12,2015,15621.0
13,2016,17805.0
14,2017,19691.0
15,2018,21377.0
16,2019,22407.0
17,2020,14212.0
18,2021,30058.0
19,2022,23848.0
